id,title,year,rated,released,runtime,plot,language,country,awards,metascore,imdb_rating,imdb_votes,tomato_meter,tomato_rating,tomato_consensus,wiki_title,imdb_id,rt_title,created,updated
8319,"Keeping the Faith",2000,PG-13,"05 Apr 2000","128 min",,,USA,"2 wins & 5 nominations.",60,6.5,"40,287",69,6.2,"A dramedy featuring an unusual love triangle, Keeping the Faith is a perceptive look at how religion affects us in everyday life.","Keeping the Faith",tt0171433,keeping_the_faith,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:13 +0100"
8320,"Keeping the Promise",1997,N/A,"05 Jan 1997","95 min",,,"USA, Canada",N/A,N/A,6.6,149,47,N/A,N/A,"Keeping the Promise",tt0119454,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:15 +0100"
8321,"Keerthi Chakra",2006,N/A,"04 Jul 2006","130 min",,,India,N/A,N/A,7.2,295,60,N/A,N/A,"Keerthi Chakra (film)",tt0485922,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:18 +0100"
8322,"Mountain Patrol",2004,PG-13,"01 Oct 2004","90 min",,,"China, Hong Kong","20 wins & 13 nominations.",77,7.7,"3,631",98,7.6,"In a setting both visually stunning and cruel, this Eastern film evokes the epic spirit of old-fashioned Westerns.","Kekexili: Mountain Patrol",tt0386651,kekexili,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:21 +0100"
8323,"Kelly's Heroes",1970,N/A,"23 Jun 1970","144 min",,,"Yugoslavia, USA",N/A,N/A,7.7,"27,432",80,6.9,N/A,"Kelly's Heroes",tt0065938,kellys_heroes,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:23 +0100"
8324,"Ken Park",2002,"Not Rated","03 Apr 2003","96 min",,,"USA, Netherlands, France","1 nomination.",N/A,5.9,"20,865",43,4.7,N/A,"Ken Park",tt0209077,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:23 +0100"
8325,Kenny,1987,PG-13,"18 Nov 1988","95 min",,,"Japan, USA, Canada","4 wins.",N/A,5.9,153,40,N/A,N/A,"Kenny (1988 film)",tt0093338,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:28 +0100"
8326,Kenny,2006,PG-13,"11 Jul 2008","99 min",,,Australia,"6 wins & 10 nominations.",N/A,7.3,"4,726",100,7.5,N/A,"Kenny (2006 film)",tt0822389,10009029-kenny,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:30 +0100"
8327,Kentucky,1938,Approved,"30 Dec 1938","96 min",,,USA,N/A,N/A,6.7,292,50,N/A,N/A,"Kentucky (film)",tt0030317,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:34 +0100"
8328,Keoma,1976,N/A,"25 Nov 1976","105 min",,,Italy,N/A,N/A,7.3,"2,791",N/A,N/A,N/A,"Keoma (film)",tt0074740,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:36 +0100"
8329,"Born to Fight",2004,R,"05 Aug 2004","96 min",,,Thailand,N/A,N/A,6.2,"2,181",N/A,N/A,N/A,"Kerd ma lui",tt0428725,1178394-born_to_fight,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:38 +0100"
8330,Kes,1969,PG-13,"19 Jun 1970","110 min",,,UK,"Won 2 BAFTA Film Awards. Another 3 wins & 4 nominations.",N/A,7.7,"9,941",100,9.3,N/A,"Kes (film)",tt0064541,kes,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:40 +0100"
8331,"Kevin & Perry Go Large",2000,R,"21 Apr 2000","82 min",,,UK,"1 nomination.",N/A,5.3,"8,424",0,1.8,N/A,"Kevin & Perry Go Large",tt0205177,kevin_and_perry_go_large,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:43 +0100"
8332,"Key Largo",1948,Unrated,"31 Jul 1948","100 min",,,USA,"Won 1 Oscar. Another 1 nomination.",N/A,7.9,"23,409",96,8.1,N/A,"Key Largo (film)",tt0040506,key_largo,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:45 +0100"
8333,Keyhole,2011,R,"22 Feb 2012","94 min",,,Canada,"2 nominations.",63,5.4,933,70,6.2,N/A,"Keyhole (film)",tt1674775,keyhole_2012,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:46 +0100"
8334,"Keys to Tulsa",1997,R,"11 Apr 1997","113 min",,,USA,N/A,N/A,5.1,"1,248",13,4.1,N/A,"Keys to Tulsa",tt0116762,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:47 +0100"
8335,"Khan kluay",2006,PG,"02 Sep 2008","79 min",,,Thailand,"4 wins & 3 nominations.",N/A,6.2,261,N/A,N/A,N/A,"Khan Kluay",tt0815890,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:49 +0100"
8336,Khartoum,1966,Approved,"15 Jun 1966","128 min",,,UK,"Nominated for 1 Oscar. Another 2 nominations.",N/A,7.0,"3,869",100,7.0,N/A,"Khartoum (film)",tt0060588,khartoum,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:51 +0100"
8337,"Khoey Ho Tum Kahan",2001,N/A,"27 Apr 2001",N/A,,,N/A,N/A,N/A,6.6,26,N/A,N/A,N/A,"Khoey Ho Tum Kahan",tt0285650,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:53 +0100"
8338,Kick-Ass,2010,R,"16 Apr 2010","117 min",,,"UK, USA","7 wins & 30 nominations.",66,7.8,"331,050",77,7.1,"Not for the faint of heart, Kick-Ass takes the comic adaptation genre to new levels of visual style, bloody violence, and gleeful profanity.","Kick-Ass (film)",tt1250777,1217700-kick_ass,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:55 +0100"
8339,"Kick-Ass 2",2013,R,"16 Aug 2013","103 min",,,"USA, UK","1 win.",41,6.8,"119,638",29,4.7," Kick-Ass 2 falls short in its attempt to emulate the original's unique blend of ultra-violence and ironic humor.","Kick-Ass 2 (film)",tt1650554,kick_ass_2_2013,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:58 +0100"
8340,"Kick the Moon",2001,N/A,"23 Jun 2001","118 min",,,"South Korea","1 win.",N/A,6.8,348,N/A,N/A,N/A,"Kick the Moon",tt0294916,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:42:59 +0100"
8341,"Kickboxer 4: The Aggressor",1994,R,"14 May 1994","90 min",,,USA,N/A,N/A,3.9,"2,106",44,N/A,N/A,"Kickboxer 4",tt0110255,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:03 +0100"
8342,"Kicking & Screaming",2005,PG,"13 May 2005","95 min",,,USA,"6 nominations.",45,5.5,"25,193",41,5.1,"The script is mediocre and fails to give Ferrell a proper comedic showcase.","Kicking & Screaming (2005 film)",tt0384642,kicking_and_screaming,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:06 +0100"
8343,"Kicking and Screaming",1995,R,"06 Oct 1995","96 min",,,USA,"1 nomination.",75,7.1,"5,748",53,5.6,N/A,"Kicking and Screaming (1995 film)",tt0113537,1066170-kicking_and_screaming,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:07 +0100"
8344,"Kid Auto Races at Venice",1914,N/A,"07 Feb 1914","11 min",,,USA,N/A,N/A,5.7,"1,321",42,N/A,N/A,"Kid Auto Races at Venice",tt0004189,kid-auto-races-at-venice-the-pest,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:11 +0100"
8345,"Kid Galahad",1962,Approved,"29 Aug 1962","95 min",,,USA,N/A,N/A,5.9,"1,385",N/A,N/A,N/A,"Kid Galahad",tt0056138,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:12 +0100"
8346,"Kid Galahad",1937,Approved,"29 May 1937","102 min",,,USA,"1 win & 1 nomination.",N/A,7.4,"1,635",N/A,N/A,N/A,"Kid Galahad (1937 film)",tt0029080,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:13 +0100"
8347,"Kid Millions",1934,Approved,"10 Nov 1934","90 min",,,USA,N/A,N/A,7.8,339,63,N/A,N/A,"Kid Millions",tt0025347,kid_millions,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:16 +0100"
8348,Kidco,1984,PG,"13 Apr 1984","105 min",,,USA,N/A,N/A,5.8,409,68,N/A,N/A,Kidco,tt0087550,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:19 +0100"
8349,Kidnapped,1938,Approved,"27 May 1938","90 min",,,USA,N/A,N/A,6.9,177,N/A,N/A,N/A,"Kidnapped (1938 film)",tt0030321,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:21 +0100"
8350,Kidnapped,1971,G,"09 Jun 1972","100 min",,,UK,N/A,N/A,6.1,625,46,N/A,N/A,"Kidnapped (1971 film)",tt0067302,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:24 +0100"
8351,Kidnapped,1995,N/A,"05 Nov 1995","155 min",,,USA,N/A,N/A,7.0,314,N/A,N/A,N/A,"Kidnapped (1995 film)",tt0113539,1070829-kidnapped,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:25 +0100"
8352,Kids,1995,Unrated,"28 Jul 1995","91 min",,,USA,"1 win & 4 nominations.",N/A,7.0,"47,421",49,5.0,N/A,"Kids (film)",tt0113540,kids,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:26 +0100"
8353,"Kids in America",2005,PG-13,"21 Oct 2005","91 min",,,USA,N/A,38,6.0,"2,322",73,N/A,N/A,"Kids in America (2005 film)",tt0408961,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:30 +0100"
8354,Kidulthood,2006,R,"03 Mar 2006","89 min",,,UK,"2 wins & 1 nomination.",N/A,6.8,"12,284",N/A,N/A,N/A,Kidulthood,tt0435680,kidulthood,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:32 +0100"
8355,Kika,1993,Unrated,"06 May 1994","114 min",,,"Spain, France","5 wins & 9 nominations.",53,6.5,"7,768",62,5.7,N/A,"Kika (1993 film)",tt0107315,kika,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:34 +0100"
8356,"Kiki's Delivery Service",1989,G,"29 Jul 1989","103 min",,,Japan,"4 wins.",N/A,7.9,"51,018",25,N/A,N/A,"Kiki's Delivery Service",tt0097814,kikis_delivery_service,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:37 +0100"
8357,Kikujiro,1999,PG-13,"26 May 2000","121 min",,,Japan,"4 wins & 3 nominations.",44,7.9,"12,055",N/A,N/A,N/A,Kikujiro,tt0199683,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:40 +0100"
8358,Kill!,1968,"Not Rated","22 Jun 1968","115 min",,,Japan,"1 win.",N/A,7.6,"1,467",N/A,N/A,N/A,Kill!,tt0063186,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:41 +0100"
8359,"Kill Baby, Kill",1966,PG,"08 Oct 1968","83 min",,,Italy,N/A,N/A,7.2,"2,856",67,6.3,N/A,"Kill, Baby, Kill",tt0060794,kill_baby_kill,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:43 +0100"
8360,"Kill Bill: Vol. 1",2003,R,"10 Oct 2003","111 min",,,USA,"Nominated for 1 Golden Globe. Another 16 wins & 49 nominations.",69,8.2,"518,465",85,7.7,"Kill Bill is nothing more than a highly stylized revenge flick. But what style!","Kill Bill Volume 1",tt0266697,kill_bill_vol_1,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:47 +0100"
8361,"Kill Bill: Vol. 2",2004,R,"16 Apr 2004","137 min",,,USA,"Nominated for 2 Golden Globes. Another 12 wins & 39 nominations.",83,8.0,"388,710",84,7.7,"Talkier and less action-packed than Vol. 1, Kill Bill Vol. 2, nevertheless delivers the goods for those expecting a satisfying conclusion to this two-parter.","Kill Bill Volume 2",tt0378194,kill_bill_vol_2,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:48 +0100"
8362,"Kill List",2011,"Not Rated","02 Sep 2011","95 min",,,UK,"5 wins & 11 nominations.",67,6.3,"18,036",76,7.1,"Kill List is an expertly executed slow-burn crime thriller that thrives on tension before morphing into visceral horror.","Kill List",tt1788391,kill_list_2011,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:49 +0100"
8363,"Kill Me Again",1989,R,"27 Oct 1989","94 min",,,USA,"1 win.",N/A,6.3,"2,788",N/A,N/A,N/A,"Kill Me Again",tt0097662,kill_me_again,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:52 +0100"
8364,"Kill Me Later",2001,R,"14 Sep 2001","89 min",,,USA,N/A,34,6.3,"1,823",25,4.2,N/A,"Kill Me Later",tt0243595,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:54 +0100"
8365,"Kill Switch",2008,R,"07 Oct 2008","96 min",,,"Canada, USA",N/A,N/A,3.9,"3,043",N/A,N/A,N/A,"Kill Switch (film)",tt1107859,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:56 +0100"
8366,"Kill the Irishman",2011,R,"11 May 2012","106 min",,,USA,N/A,50,7.2,"29,408",63,5.6,N/A,"Kill the Irishman",tt1416801,the-irishman,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:43:59 +0100"
8367,"Kill the Poor",2003,N/A,"09 May 2003","85 min",,,USA,N/A,52,5.1,175,25,5.3,N/A,"Kill the Poor (film)",tt0365407,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:00 +0100"
8368,"Killer's Kiss",1955,Unrated,"01 Oct 1955","67 min",,,USA,"1 win.",N/A,6.8,"12,239",83,6.8,N/A,"Killer's Kiss",tt0048254,killers_kiss,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:02 +0100"
8369,Killer,1998,N/A,"06 Jan 1999","80 min",,,"Kazakhstan, France","2 wins & 1 nomination.",N/A,6.8,201,71,N/A,N/A,"Killer (1998 film)",tt0157124,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:05 +0100"
8370,"Killer Condom",1996,N/A,"29 Aug 1996","107 min",,,"Germany, Switzerland",N/A,N/A,5.2,"2,046",N/A,N/A,N/A,"Killer Condom",tt0116791,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:07 +0100"
8371,"Killer Diller",2004,PG-13,"01 Mar 2004","95 min",,,USA,"1 win.",N/A,6.8,321,N/A,N/A,N/A,"Killer Diller",tt0369294,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:10 +0100"
8372,"Killer Diller",1948,N/A,N/A,"73 min",,,USA,N/A,N/A,6.0,60,N/A,N/A,N/A,"Killer Diller (1948 film)",tt0040508,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:13 +0100"
8373,"Killer Elite",2011,R,"23 Sep 2011","116 min",,,"UK, Australia","2 wins & 7 nominations.",44,6.5,"84,976",25,4.7,"A rote, utterly disposable Jason Statham vehicle that just happens to have Clive Owen and Robert De Niro in it.","Killer Elite (film)",tt1448755,killer_elite_2011,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:16 +0100"
8374,"Killer Joe",2011,R,"29 Jun 2012","102 min",,,USA,"7 wins & 11 nominations.",62,6.7,"43,034",78,6.9,"Violent, darkly comic, and full of strong performances, Killer Joe proves William Friedkin hasn't lost his touch, even if the plot may be too lurid for some.","Killer Joe (film)",tt1726669,killer_joe,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:18 +0100"
8375,"Killer Klowns from Outer Space",1988,PG-13,"27 May 1988","88 min",,,USA,"2 nominations.",N/A,6.0,"18,470",71,6.0,"Killer Klowns from Outer Space's title promises darkly goofy fun -- and more often than not, the movie delivers.","Killer Klowns from Outer Space",tt0095444,killer_klowns_from_outer_space,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:18 +0100"
8376,,,,,,,,,,,,,,,,"Killer Nun",tt78343,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:20 +0100"
8377,"The Killer Shrews",1959,N/A,"06 Apr 1962","69 min",,,USA,N/A,N/A,3.7,"2,785",50,4.6,N/A,"Killer Shrews",tt0052969,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:20 +0100"
8378,"Killer Tattoo",2001,N/A,"05 Apr 2001","111 min",,,Thailand,N/A,N/A,6.3,282,55,N/A,N/A,"Killer Tattoo",tt0282658,killer_tattoo,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:24 +0100"
8379,"Killer of Sheep",1979,N/A,"20 Jun 2008","83 min",,,USA,"3 wins.",94,7.4,"3,464",97,8.8,"By turns funny, sad, and profound, Killer of Sheep offers a sympathetic and humane glimpse into inner-city life.","Killer of Sheep",tt0076263,killer_of_sheep,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:25 +0100"
8380,Killers,2010,PG-13,"04 Jun 2010","100 min",,,USA,"2 wins & 3 nominations.",21,5.3,"57,205",11,3.3,"Dull, formulaic, and chemistry-free, Killers is an action/comedy that's largely bereft of thrills or laughs.","Killers (2010 film)",tt1103153,killers_2010,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:28 +0100"
8381,"Killers from Space",1954,N/A,"23 Jan 1954","71 min",,,USA,N/A,N/A,3.0,"1,236",N/A,N/A,N/A,"Killers from Space",tt0047149,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:28 +0100"
8382,"Killing Me Softly",2002,R,"21 Jun 2002","100 min",,,"USA, UK",N/A,N/A,5.4,"12,180",0,3.4,"Respected director Chen Kaige's first English-language film is a spectacularly misguided erotic thriller, with ludicrous plot twists and cringe-worthy dialogue.","Killing Me Softly (film)",tt0250468,killing_me_softly,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:30 +0100"
8383,"Killing Season",2013,R,"25 Jul 2013","91 min",,,"USA, Belgium",N/A,27,5.4,"18,573",10,3.2,N/A,"Killing Season (film)",tt1480295,killing_season,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:31 +0100"
8384,"Killing Them Softly",2012,R,"30 Nov 2012","97 min",,,USA,"2 wins & 2 nominations.",64,6.2,"87,480",75,6.9,"Killing Them Softly is a darkly comic, visceral thriller that doubles as a cautionary tale on capitalism, whose message is delivered with sledgehammer force.","Killing Them Softly",tt1764234,killing_them_softly,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:33 +0100"
8385,"Killing Zoe",1993,R,"01 Sep 1994","96 min",,,"France, USA","2 wins & 1 nomination.",N/A,6.5,"15,547",33,5.0,N/A,"Killing Zoe",tt0110265,killing_zoe,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:34 +0100"
8386,Killshot,2008,R,"13 Nov 2008","95 min",,,USA,N/A,N/A,6.1,"16,797",43,5.3,N/A,"Killshot (film)",tt0443559,killshot,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:35 +0100"
8387,Kim,1950,Approved,"26 Jan 1951","113 min",,,USA,N/A,N/A,6.7,"1,154",100,6.6,N/A,"Kim (1950 film)",tt0042644,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:36 +0100"
8388,Kin-dza-dza!,1986,N/A,"01 Dec 1986","135 min",,,"Soviet Union","3 wins & 1 nomination.",N/A,8.3,"7,239",41,N/A,N/A,Kin-dza-dza!,tt0091341,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:39 +0100"
8389,"Kind Hearts and Coronets",1949,"Not Rated","14 Jun 1950","106 min",,,UK,"Nominated for 1 BAFTA Film Award. Another 4 wins & 1 nomination.",N/A,8.2,"21,859",100,9.1,N/A,"Kind Hearts and Coronets",tt0041546,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:40 +0100"
8390,"Kindergarten Cop",1990,PG-13,"21 Dec 1990","111 min",,,USA,"4 wins & 1 nomination.",61,5.9,"85,227",51,5.1,N/A,"Kindergarten Cop",tt0099938,kindergarten_cop,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:43 +0100"
8391,"King's Ransom",2005,PG-13,"22 Apr 2005","95 min",,,"USA, Canada",N/A,11,4.1,"2,972",2,2.4,"Filled with crass dialogue, unlikable characters, and overdone slapstick gags, King's Ransom is an utterly inept would-be comedy.","King's Ransom (film)",tt0388183,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:44 +0100"
8392,"King: A Filmed Record... Montgomery to Memphis",1970,N/A,N/A,"185 min",,,USA,"Nominated for 1 Oscar. Another 1 win.",N/A,7.2,177,N/A,N/A,N/A,"King: a Filmed Record...Montgomery To Memphis",tt0065944,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:47 +0100"
8393,"King Arthur",2004,R,"07 Jul 2004","126 min",,,"USA, UK, Ireland","4 wins & 7 nominations.",46,6.3,"108,066",32,5.0,"The magic is gone, leaving a dreary, generic action movie.","King Arthur (film)",tt0349683,1133964-king_arthur,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:48 +0100"
8394,"King Cobra",1999,PG-13,"29 Apr 1999","93 min",,,USA,N/A,N/A,2.8,"1,593",N/A,N/A,N/A,"King Cobra (film)",tt0138797,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:49 +0100"
8395,"King Creole",1958,PG,"02 Jul 1958","116 min",,,USA,N/A,N/A,7.0,"2,637",100,6.7,N/A,"King Creole",tt0051818,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:50 +0100"
8396,"King David",1985,PG-13,"29 Mar 1985","114 min",,,"UK, USA","1 nomination.",N/A,5.0,"1,365",8,3.4,N/A,"King David (film)",tt0089420,king_david,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:51 +0100"
8397,"King Kong",1933,Unrated,"07 Apr 1933","100 min",,,USA,"2 wins & 3 nominations.",N/A,8.0,"56,442",98,9.0,"King Kong explores the soul of a monster -- making audiences scream and cry throughout the film -- in large part due to Kong's breakthrough special effects.","King Kong (1933 film)",tt0024216,1011615-king_kong,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:52 +0100"
8398,"King Kong",1976,PG,"17 Dec 1976","134 min",,,USA,"Nominated for 2 Oscars. Another 4 wins & 1 nomination.",N/A,5.8,"17,753",50,N/A,N/A,"King Kong (1976 film)",tt0074751,1011617-king_kong,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:55 +0100"
8399,"King Kong",2005,PG-13,"14 Dec 2005","187 min",,,"New Zealand, USA, Germany","Won 3 Oscars. Another 24 wins & 51 nominations.",81,7.3,"258,330",84,7.7,"Featuring state-of-the-art special effects, terrific performances, and a majestic sense of spectacle, Peter Jackson's remake of King Kong is a potent epic that's faithful to the spirit of the 1933 original.","King Kong (2005 film)",tt0360717,king_kong,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:57 +0100"
8400,"King Kong Escapes",1967,G,"19 Jun 1968","96 min",,,"USA, Japan",N/A,N/A,5.5,"1,083",N/A,N/A,N/A,"King Kong Escapes",tt0061868,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:58 +0100"
8401,"King Kong Lives",1986,PG-13,"19 Dec 1986","105 min",,,USA,"2 nominations.",N/A,3.6,"3,225",0,1.6,N/A,"King Kong Lives",tt0091344,king_kong_lives,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:44:59 +0100"
8402,"King Ralph",1991,PG,"15 Feb 1991","97 min",,,USA,N/A,N/A,5.1,"10,804",20,4.6,N/A,"King Ralph",tt0102216,king_ralph,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:01 +0100"
8403,,,,,,,,,,,,,,,,"King Richard and the Crusaders",tt047150,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:02 +0100"
8404,"King Solomon's Mines",1950,N/A,"24 Nov 1950","103 min",,,USA,"Won 2 Oscars. Another 2 wins & 1 nomination.",N/A,6.9,"3,701",92,7.2,N/A,"King Solomon's Mines (1950 film)",tt0042646,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:02 +0100"
8405,"King Solomon's Mines",1985,PG-13,"22 Nov 1985","100 min",,,USA,"2 nominations.",N/A,5.1,"8,000",13,3.5,N/A,"King Solomon's Mines (1985 film)",tt0089421,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:03 +0100"
8406,"Gospodin za edin den",1983,N/A,"16 May 1983","87 min",,,Bulgaria,N/A,N/A,8.4,467,N/A,N/A,N/A,"King for a Day (1983 film)",tt0298350,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:05 +0100"
8407,"King of California",2007,PG-13,"12 Sep 2007","93 min",,,USA,N/A,63,6.7,"17,991",63,6.2,"A quirky and often touching comedy about a mature teenager and her manic depressive father, King of California is a charming tale of familial relations and treasure hunting.","King of California",tt0388182,king_of_california,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:07 +0100"
8408,"King of Comedy",1999,N/A,"13 Feb 1999","89 min",,,"Hong Kong","1 nomination.",N/A,7.3,"3,075",67,N/A,N/A,"King of Comedy (1999 film)",tt0188766,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:10 +0100"
8409,"King of Hearts",1966,Unrated,"19 Jun 1967","102 min",,,"France, Italy",N/A,N/A,7.5,"2,537",91,7.5,N/A,"King of Hearts (1966 film)",tt0060908,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:12 +0100"
8410,"King of Kings",1961,PG-13,"30 Oct 1961","168 min",,,USA,N/A,N/A,7.1,"3,636",86,6.4,"With enough narrative depth to anchor the expected spectacle, King of Kings is a true blessing for fans of Biblical epics.","King of Kings (1961 film)",tt0055047,1011626-king_of_kings,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:13 +0100"
8411,"King of New York",1990,X,"28 Sep 1990","103 min",,,"Italy, USA, UK","1 win & 2 nominations.",N/A,7.0,"19,272",71,6.1,N/A,"King of New York",tt0099939,king_of_new_york,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:14 +0100"
8412,"Hai zi wang",1987,N/A,"17 Mar 1989","106 min",,,China,"1 win & 2 nominations.",N/A,7.2,221,N/A,N/A,N/A,"King of the Children",tt0093133,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:15 +0100"
8413,"King of the Hill",1993,PG-13,"20 Aug 1993","103 min",,,USA,"1 win & 6 nominations.",86,7.5,"4,697",97,7.9,"A subtle, affecting, character-driven coming-of-age story, King of the Hill is one of Steven Soderbergh's best and most criminally overlooked films.","King of the Hill (film)",tt0107322,1046045-king_of_the_hill,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:17 +0100"
8414,"King of the Zombies",1941,Approved,"14 May 1941","67 min",,,USA,N/A,N/A,5.3,"1,222",N/A,N/A,N/A,"King of the Zombies",tt0033787,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:18 +0100"
8415,"Kingdom Come",2001,PG,"11 Apr 2001","94 min",,,USA,"6 nominations.",48,5.6,"1,610",28,4.3,"While it has its moments, Kingdom Come is marred by a script that's low on laughs and uneven in tone.","Kingdom Come (2001 film)",tt0246002,,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:21 +0100"
8416,"Kingdom of Heaven",2005,R,"06 May 2005","144 min",,,"USA, UK, Spain, Germany, Morocco","4 wins & 11 nominations.",63,7.2,"166,469",39,5.6,"Although it's an objective and handsomely presented take on the Crusades, Kingdom of Heaven lacks depth.","Kingdom of Heaven (2005 film)",tt0320661,kingdom_of_heaven,"2014-05-11 19:37:12 2014 +0100","2014-05-15 04:45:22 +0100"
