id,title,year,rated,released,runtime,plot,language,country,awards,metascore,imdb_rating,imdb_votes,tomato_meter,tomato_rating,tomato_consensus,wiki_title,imdb_id,rt_title,created,updated
36,"13 Ghosts",1960,"Not Rated","01 Jul 1960","85 min",,,USA,N/A,N/A,6.1,"2,879",31,4.8,N/A,"13 Ghosts (1960 film)",tt0053559,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:10 +0100"
37,"13 Going on 30",2004,PG-13,"23 Apr 2004","98 min",,,USA,"11 nominations.",57,6.1,"86,888",64,6.2,"The plot's nothing new, but Garner shows a lovable flair for romantic comedies.","13 Going on 30",tt0337563,13_going_on_30,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:10 +0100"
38,"13 Rue Madeleine",1947,Approved,"03 Mar 1947","95 min",,,USA,N/A,N/A,7.0,"1,708",83,6.2,N/A,"13 Rue Madeleine",tt0038279,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:10 +0100"
39,"13 Tzameti",2005,"Not Rated","08 Feb 2006","93 min",,,France,"8 wins & 3 nominations.",61,7.5,"13,117",84,7.0,"This starkly minimalist nail-biter of a thriller relentlessly builds up the tension and keeps the audience guessing.","13 Tzameti",tt0475169,13_tzameti,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:10 +0100"
40,1408,2007,PG-13,"22 Jun 2007","104 min",,,USA,"3 wins & 4 nominations.",64,6.8,"169,235",78,6.6,"Relying on psychological tension rather than overt violence and gore, 1408 is a genuinely creepy thriller with a strong lead performance by John Cusack.","1408 (film)",tt0450385,1408,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:11 +0100"
41,"1492: Conquest of Paradise",1992,PG-13,"09 Oct 1992","154 min",,,"France, Spain","Nominated for 1 Golden Globe. Another 1 nomination.",N/A,6.4,"18,859",39,4.0,N/A,"1492: Conquest of Paradise",tt0103594,1492_conquest_of_paradise,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:11 +0100"
42,"15: The Movie",2003,N/A,"23 Oct 2003","90 min",,,Singapore,"7 wins & 3 nominations.",47,6.3,610,50,4.9,N/A,"15 (film)",tt0344766,fifteen,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:11 +0100"
43,"15 Minutes",2001,R,"09 Mar 2001","120 min",,,"USA, Germany","1 nomination.",34,6.1,"37,841",33,4.4,"As critical as it is about sensationalism in the media, 15 Minutes itself indulges in lurid violence, and its satire is too heavy-handed to be effective.","15 Minutes",tt0179626,15_minutes,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:12 +0100"
44,"16 Blocks",2006,PG-13,"03 Mar 2006","105 min",,,"Germany, USA","1 nomination.",63,6.6,"98,661",55,5.9,"Despite strong performances from Bruce Willis and Mos Def, 16 Blocks is a shopworn entry in the buddy-action genre.","16 Blocks",tt0450232,16_blocks,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:12 +0100"
45,1776,1972,PG,"17 Nov 1972","142 min",,,USA,"Nominated for 1 Oscar. Another 1 win & 1 nomination.",N/A,7.6,"5,546",64,6.8,N/A,"1776 (film)",tt0068156,1776,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:12 +0100"
